Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Guatemala,GTM,..,8.8,8.8,..,..,..,..,..,..,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Guinea,GIN,..,..,..,..,..,..,14.3,..,..,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Guinea-Bissau,GNB,..,..,..,..,..,..,19.5,..,..,21.7,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Guyana,GUY,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Haiti,HTI,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Honduras,HND,33.2,..,11.4,11.1,12,11.4,11.6,10.8,..,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,"Hong Kong SAR, China",HKG,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Hungary,HUN,..,..,0.7,0.6,1.1,0.6,0.2,0.3,0.4,0.4,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Iceland,ISL,..,..,0,0,0,0,..,..,..,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,India,IND,..,..,..,19.1,18.7,15.7,13.1,13.4,15.2,13.3,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Indonesia,IDN,44.3,33.6,11.4,10.1,9.3,7.9,6.7,6,5.6,5.3,4.5,3.8
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,"Iran, Islamic Rep.",IRN,8.1,..,1,0.8,0.8,0.7,0.9,1.2,1.3,1.1,0.8,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Iraq,IRQ,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Ireland,IRL,..,0.1,0.4,0.3,0.2,0.2,0,0.1,0.1,0.1,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Israel,ISR,..,..,0.4,0.4,0.3,0.4,0.4,0.6,0.5,0.4,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Italy,ITA,..,1.2,1.2,1.7,1.5,1.3,1.3,0.9,0.8,0.7,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Jamaica,JAM,4,..,..,..,..,..,0.1,..,..,0.5,..,..
Poverty gap at $3.65 a day (2017 PPP) (%),SI.POV.LMIC.GP,Japan,JPN,..,..,..,..,..,..,..,..,..,..,..,..
