country_name,country_code,status,access_to_electricity,gross_domestic_income,life_expectancy,control_of_corruption_percentile,control_of_corruption_estimate,population_0_14%,population_65_above_total,population_15_64_total,consumer_price_index_2010,inflation_annual%,gdp_current_usd,gdp_growth_annual%,gdp_per_capita_current_usd,imports_%gdp,military_expenditure_%gdp,high_technology_exports_usd,freedom_status,political_rights,civil_liberties,total_freedom_score
Papua New Guinea,PNG,0.0,19.0,1710000000000.0,65.96,25.47,-0.7,34.25,323274,6345851,179.81,5.25,31603619037.0,5.17,3115.92,42.18,0.33,77454299.5,Partly Free,22.0,39.0,61.0
Paraguay,PRY,0.0,100.0,216000000000000.0,70.47,15.09,-1.09,28.87,424398,4398958,168.35,9.77,41952910858.0,0.18,6187.07,39.37,0.83,179228712.0,Partly Free,26.0,37.0,63.0
Peru,PER,0.0,96.2,588000000000.0,73.39,22.17,-0.81,26.01,2864148,22330236,150.12,8.33,246000000000.0,2.73,7239.11,28.35,1.15,263100678.0,Partly Free,27.0,39.0,66.0
Philippines,PHL,0.0,94.8,19400000000000.0,72.19,33.49,-0.54,30.34,6282669,74220181,145.97,5.82,404000000000.0,7.58,3499.11,44.04,1.0,41726924625.0,Partly Free,25.0,33.0,58.0
Poland,POL,1.0,100.0,2360000000000.0,77.3,68.4,0.51,15.15,6832114,24410950,141.81,14.43,690000000000.0,5.64,18732.5,61.1,2.39,28268826995.0,Free,33.0,47.0,80.0
Portugal,PRT,1.0,100.0,205000000000.0,81.58,75.94,0.73,13.18,2383516,6653926,120.78,7.83,255000000000.0,6.83,24515.27,52.01,1.35,3746711414.0,Free,39.0,57.0,96.0
Qatar,QAT,0.0,100.0,1710000000000.0,81.56,79.25,0.8,15.81,40970,2227982,120.79,5.0,236000000000.0,4.21,87480.42,31.61,6.96,269483240.0,Not Free,7.0,18.0,25.0
Romania,ROU,1.0,100.0,596000000000.0,75.3,55.66,0.02,15.92,3550764,12464175,151.87,13.8,299000000000.0,4.11,15692.31,49.95,1.73,8356833712.0,Free,35.0,48.0,83.0
Russian Federation,RUS,0.0,100.0,107000000000000.0,72.55,19.34,-0.98,17.7,22786449,95914417,156.81,7.949999999999999,2270000000000.0,-2.07,15445.24,15.23,4.06,77454299.5,Partly Free,20.585714285714285,31.885714285714286,52.47142857142857
Rwanda,RWA,0.0,50.6,10300000000000.0,67.13,70.28,0.56,38.47,440433,8036935,194.54,17.69,13316160804.0,8.16,966.57,38.67,1.45,6797226.0,Not Free,8.0,15.0,23.0
Samoa,WSM,0.0,98.3,1873909196.0,72.6,69.81,0.55,37.57,11605,127229,132.42,10.96,832945205.0,-5.31,3745.56,52.72,1.45,77454299.5,Free,32.0,52.0,84.0
San Marino,SMR,0.0,100.0,1710000000000.0,71.28,88.68,1.27,12.74,6886,22485,156.81,7.949999999999999,29504829319.0,4.17,5023.25,42.18,1.45,77454299.5,Free,39.0,58.0,97.0
Sao Tome and Principe,STP,0.0,78.0,1710000000000.0,68.79,62.74,0.28,39.47,8550,129082,279.41,18.01,542686976.0,0.07,2386.7,42.18,1.45,15026.0,Partly Free,20.585714285714285,31.885714285714286,52.47142857142857
Saudi Arabia,SAU,0.0,100.0,3680000000000.0,77.9,63.68,0.36,25.95,1023133,25938738,129.35,2.47,1110000000000.0,7.49,30447.88,23.29,7.42,77454299.5,Not Free,1.0,7.0,8.0
Senegal,SEN,0.0,67.9,15200000000000.0,67.91,53.77,-0.03,41.45,543578,9595171,125.57,9.7,27619479060.0,3.82,1594.99,53.18,1.57,37221052.0,Partly Free,28.0,39.0,67.0
Serbia,SRB,0.0,100.0,5460000000000.0,75.48,35.38,-0.46,14.44,1370058,4332299,170.48,11.98,63563410721.0,2.55,9537.68,74.81,2.28,985830757.0,Partly Free,18.0,39.0,57.0
Seychelles,SYC,0.0,100.0,26098417278.0,73.85,94.34,1.7,23.1,9771,82411,156.81,7.949999999999999,2057968520.0,14.98,17167.19,97.79,1.38,77454299.5,Free,34.0,45.0,79.0
Sierra Leone,SLE,0.0,29.4,13957373020.0,60.41,32.55,-0.56,38.98,270226,4981362,378.05,27.21,4094563859.0,3.46,475.8,56.22,0.6,77454299.5,Partly Free,24.0,36.0,60.0
